N,종목명,현재가,전일비,등락률,액면가,시가,고가,매출액
1079.0,세기상사,7890.0,190.0,-2.35%,500.0,8100.0,8240.0,179.0
1080.0,신한 인버스 2X 코스닥 150 선물 ETN,16705.0,365.0,+2.23%,0.0,16310.0,16705.0,
1081.0,TIGER 레버리지,14370.0,75.0,-0.52%,0.0,14435.0,14700.0,
1082.0,WISCOM,2715.0,15.0,-0.55%,500.0,2730.0,2775.0,1176.0
1083.0,우진아이엔에스,5440.0,10.0,-0.18%,500.0,5450.0,5530.0,895.0
1084.0,주연테크,700.0,6.0,+0.86%,200.0,694.0,710.0,882.0
1085.0,유엔젤,3140.0,55.0,+1.78%,500.0,3035.0,3145.0,297.0
1086.0,호텔신라우,54700.0,500.0,-0.91%,5000.0,55400.0,55400.0,
1087.0,미래에셋 원자재 선물 ETN(H),13690.0,320.0,-2.28%,0.0,13765.0,13765.0,
1088.0,ACE 인도네시아MSCI(합성),10765.0,20.0,-0.19%,0.0,10725.0,10945.0,
1089.0,SOL 200 Top10,8000.0,25.0,-0.31%,0.0,8030.0,8030.0,
1090.0,삼성 코스피 200 ETN,8160.0,65.0,-0.79%,0.0,8170.0,8215.0,
1091.0,KODEX ESG종합채권(A-이상)액티브,98485.0,0.0,0.00%,0.0,98485.0,98485.0,
1092.0,TRUE 코스피 200 ETN,8150.0,10.0,-0.12%,0.0,8170.0,8170.0,
1093.0,ARIRANG ESG가치주액티브,7570.0,10.0,+0.13%,0.0,7560.0,7635.0,
1094.0,ACE KRX금현물,10910.0,0.0,0.00%,0.0,10900.0,10930.0,
1095.0,KODEX 철강,8215.0,0.0,0.00%,0.0,8260.0,8320.0,
1096.0,동양고속,13850.0,150.0,-1.07%,5000.0,14000.0,14000.0,812.0
1097.0,에셋플러스 글로벌플랫폼액티브,5870.0,115.0,-1.92%,0.0,5885.0,5885.0,
1098.0,미래에셋 S&P 2X 천연가스 선물 ETN(H),15955.0,190.0,-1.18%,0.0,16210.0,16210.0,
1099.0,TRUE 블룸버그 인버스 2X WTI원유 선물 ETN,19880.0,930.0,+4.91%,0.0,20015.0,20040.0,
1100.0,KB 블룸버그 레버리지 천연가스선물 ETN(H),15890.0,185.0,-1.15%,0.0,16050.0,16160.0,
1101.0,두산퓨얼셀2우B,13300.0,150.0,-1.12%,100.0,13300.0,13550.0,
1102.0,신한 블룸버그 2X 천연가스 선물 ETN(H),15875.0,60.0,-0.38%,0.0,16050.0,16155.0,
1103.0,KODEX 미국달러선물레버리지,12785.0,15.0,+0.12%,0.0,12790.0,12885.0,
1104.0,KODEX 200미국채혼합,12060.0,45.0,-0.37%,0.0,12085.0,12100.0,
1105.0,SK디스커버리우,29050.0,450.0,-1.53%,5000.0,29500.0,29500.0,
1106.0,경인전자,24950.0,300.0,-1.19%,5000.0,25250.0,25250.0,274.0
1107.0,KODEX 고배당,9325.0,20.0,-0.21%,0.0,9360.0,9375.0,
1108.0,TIGER 원유선물인버스(H),3255.0,75.0,+2.36%,0.0,3255.0,3270.0,
1109.0,TBH글로벌,1865.0,10.0,+0.54%,500.0,1855.0,1900.0,1881.0
1110.0,삼성 블룸버그 레버리지 WTI원유 선물 ETN,15470.0,865.0,-5.30%,0.0,15415.0,15590.0,
1111.0,TIMEFOLIO Kstock액티브,8195.0,50.0,+0.61%,0.0,8130.0,8240.0,
1112.0,삼성 미국 대형 가치주 ETN,19230.0,0.0,0.00%,0.0,19230.0,19230.0,
1113.0,TIGER 미국S&P500배당귀족,10520.0,105.0,-0.99%,0.0,10605.0,10610.0,
1114.0,삼성 인버스 2X 나스닥 100 ETN(H),7670.0,130.0,+1.72%,0.0,7640.0,7670.0,
1115.0,베트남개발1,278.0,3.0,-1.07%,0.0,289.0,313.0,
1116.0,KBSTAR 중기우량회사채,100455.0,5.0,0.00%,0.0,100445.0,100455.0,
1117.0,삼성 미국 대형 성장주 ETN(H),18985.0,230.0,-1.20%,0.0,18985.0,18985.0,
1118.0,씨아이테크,863.0,36.0,+4.35%,500.0,827.0,963.0,472.0
1119.0,한솔PNS,1835.0,20.0,+1.10%,500.0,1815.0,1845.0,2629.0
1120.0,KODEX 차이나심천ChiNext(합성),10615.0,55.0,+0.52%,0.0,10540.0,10735.0,
1121.0,TIGER 차이나클린에너지SOLACTIVE,9105.0,60.0,+0.66%,0.0,9045.0,9195.0,
1122.0,TIGER KRX인터넷K-뉴딜,4555.0,85.0,-1.83%,0.0,4605.0,4660.0,
1123.0,KODEX 증권,5660.0,5.0,-0.09%,0.0,5655.0,5710.0,
1124.0,신한 S&P500 VIX S/T 선물 ETN C,7365.0,25.0,-0.34%,0.0,7330.0,7380.0,
1125.0,ACE 삼성그룹섹터가중,15295.0,40.0,+0.26%,0.0,15300.0,15395.0,
1126.0,KODEX KRX기후변화솔루션,9650.0,30.0,+0.31%,0.0,9700.0,9755.0,
1127.0,모두투어리츠,4685.0,165.0,+3.65%,5000.0,4570.0,4720.0,61.0
1128.0,삼성 코스닥 150 ETN,7330.0,60.0,-0.81%,0.0,7415.0,7420.0,
1129.0,TRUE 코스피 양매도 3% OTM ETN,7320.0,0.0,0.00%,0.0,7320.0,7320.0,
1130.0,SOL 미국S&P500,11060.0,60.0,-0.54%,0.0,11100.0,11100.0,
1131.0,대교우B,1870.0,65.0,+3.60%,500.0,1805.0,1870.0,
1132.0,롯데지주우,45000.0,400.0,-0.88%,200.0,45400.0,45400.0,
1133.0,남양유업우,216000.0,1500.0,+0.70%,5000.0,215000.0,216000.0,
1134.0,유안타증권우,2785.0,5.0,+0.18%,5000.0,2770.0,2795.0,
1135.0,KODEX 바이오,8225.0,80.0,-0.96%,0.0,8315.0,8345.0,
1136.0,KBSTAR 게임테마,10905.0,185.0,-1.67%,0.0,11110.0,11145.0,
1137.0,TIGER 코스피고배당,12950.0,15.0,-0.12%,0.0,12955.0,12995.0,
1138.0,KOSEF 국고채3년,107065.0,295.0,-0.27%,0.0,107165.0,107165.0,
1139.0,KODEX KRX300,14635.0,0.0,0.00%,0.0,14740.0,14760.0,
1140.0,녹십자홀딩스2우,41500.0,550.0,-1.31%,500.0,41900.0,42600.0,
1141.0,KB 레버리지 S&P 500 선물 ETN(H),8775.0,110.0,-1.24%,0.0,8840.0,8840.0,
1142.0,TIGER 인도니프티50레버리지(합성),28145.0,405.0,-1.42%,0.0,28395.0,28720.0,
1143.0,KBSTAR 금융채액티브,97905.0,45.0,-0.05%,0.0,97895.0,97945.0,
1144.0,제이준코스메틱,452.0,8.0,-1.74%,500.0,461.0,463.0,205.0
1145.0,KOSEF 릭소글로벌퓨처모빌리티MSCI,9865.0,85.0,-0.85%,0.0,9795.0,9910.0,
1146.0,미래에셋 KRX금현물 Auto-KO-C 2312-01 ETN,11490.0,10.0,-0.09%,0.0,11160.0,11495.0,
1147.0,TRUE 인버스 2X 베트남 VN30 선물 ETN(H),34405.0,310.0,+0.91%,0.0,33550.0,35480.0,
1148.0,한성기업,5540.0,30.0,+0.54%,5000.0,5510.0,5600.0,2515.0
